sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188427	NA19159	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124716	YRI	Yoruba	AFR	African
ERR188434	NA19209	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122994	YRI	Yoruba	AFR	African
ERR188440	NA19200	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122989	YRI	Yoruba	AFR	African
ERR188442	NA18910	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123402	YRI	Yoruba	AFR	African
ERR188444	NA19129	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125021	YRI	Yoruba	AFR	African
ERR188447	NA18934	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123036	YRI	Yoruba	AFR	African
ERR188449	NA18499	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124059	YRI	Yoruba	AFR	African
ERR188451	NA19149	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124605	YRI	Yoruba	AFR	African
ERR188454	NA19207	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122984	YRI	Yoruba	AFR	African
ERR188459	NA19143	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124609	YRI	Yoruba	AFR	African
ERR188460	NA19153	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123019	YRI	Yoruba	AFR	African
ERR188463	NA19247	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123691	YRI	Yoruba	AFR	African
ERR188471	NA19130	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125229	YRI	Yoruba	AFR	African
ERR188476	NA19093	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123172	YRI	Yoruba	AFR	African
